42964,977.84,977.84,960.32,960.57,966.88,3.51,-0.018,-17.61,3395264240
42963,981.65,986.46,973.22,978.18,978.73,3.13,-0.0046,-4.56,3065721080
42962,988.9,991.74,982,982.74,985.23,2.55,-0.0006,-0.56,2511281310
42961,978.41,985.5,976.19,983.3,981.66,3.17,0.0158,15.31,3114711100
42958,960,970.39,951.38,967.99,963.94,3.47,0.0116,11.07,3342231780
42957,976.3,979.86,954.68,956.92,963.39,5.68,-0.0255,-25.09,5474869010
42956,982.6,988,975.27,982.01,982.44,3.57,-0.0079,-7.83,3506765220
42955,994.35,996.28,985.79,989.84,991.21,2.90,-0.0024,-2.43,2877432340
42954,990.65,995,987.14,992.27,991.48,2.68,0.0048,4.69,2653760280
42951,989.68,991.67,982,987.58,986.69,2.73,0.0007,0.66,2693734700
42950,999.47,999.5,984.59,986.92,988.85,3.26,-0.009,-8.97,3219208370
42949,1001.77,1003.21,981.73,995.89,992.73,4.07,0.0037,3.62,4040073340
42948,990.65,995,987.14,992.27,991.48,2.65,0.0046,4.49,2627740370
42947,1019.05,1019.05,987.02,987.78,996.8,7.35,-0.0316,-32.26,7329653350
42944,1012.14,1032.85,1001,1020.04,1016.16,7.71,-0.0248,-25.96,7832891180
42943,1069.55,1083.31,1040.18,1046,1058.89,10.99,-0.0065,-6.8,11601972300
42942,1043.2,1053.2,1043.2,1052.8,1050.63,2.92,0.0124,12.93,3122008430
42941,1038.05,1043.33,1032.48,1039.87,1038.37,2.45,0.0009,0.92,2541659310
42940,1028.34,1043.01,1027.43,1038.95,1036.36,3.29,0.013,13.28,3407327500
42937,1021.28,1026.1,1011,1025.67,1021.95,2.73,-0.0029,-3.03,2794931220
42936,1031.59,1034.97,1022.52,1028.7,1029.25,3.10,0.0018,1.83,3186868210
42935,1025,1031.59,1022.5,1026.87,1027.54,2.96,0.0024,2.42,3045534580
42934,1006,1026.03,1004,1024.45,1019.07,4.01,0.0143,14.41,4083842880
42933,1004.69,1014.75,1003.81,1010.04,1010.06,3.71,0.0082,8.23,3749834930
42930,1002.4,1004.45,996.89,1001.81,1000.94,2.10,0.0012,1.18,2104489810
42929,1004.62,1006.88,995.9,1000.63,1000.79,2.88,-0.0058,-5.88,2882993090
42928,1000.65,1008.55,998.1,1006.51,1003.98,3.61,0.0125,12.38,3622916220
42927,993,995.99,983.72,994.13,991.42,2.98,-0.0023,-2.34,2957127770
42926,985,999.44,983.5,996.47,993.45,3.55,0.0181,17.71,3523150770
42923,969.55,980.11,969.14,978.76,975.81,2.64,0.0141,13.62,2579630310
42922,964.66,974.4,959.02,965.14,965.9,3.26,-0.0064,-6.26,3148085610
42921,961.53,975,955.25,971.4,966.37,3.65,0.0186,17.74,3530126750
42919,972.79,974.49,951,953.66,960.88,2.91,-0.0148,-14.34,2797111510
42916,980.12,983.47,967.61,968,975.03,3.39,-0.0081,-7.93,3305326340
42915,979,987.56,965.25,975.93,975.35,4.30,-0.0145,-14.4,4196397990
42914,978.55,990.68,969.21,990.33,981.41,3.74,0.0139,13.55,3668304270
42913,990.69,998.8,976,976.78,985.36,3.78,-0.0173,-17.2,3726347950
42912,1008.5,1009.8,992,993.98,998.64,3.39,-0.0097,-9.76,3381313550
42909,1002.54,1004.62,998.02,1003.74,1002.37,2.88,0.0024,2.44,2885840680
42908,1002.23,1006.96,997.2,1001.3,1002.88,2.25,-0.0009,-0.93,2259843830
42907,998.7,1002.72,992.65,1002.23,997.28,2.92,0.0097,9.64,2954432090
42906,998,1004.88,992.02,992.59,997.49,4.08,-0.0026,-2.58,4066167640
42905,1017,1017,989.9,995.17,997.02,5.04,0.0076,7.46,5032918570
42902,996,999.75,982,987.71,992.69,11.47,0.0244,23.54,11388596200
42901,958.7,965.73,950.86,964.17,959.09,5.37,-0.0126,-12.3,5144728790
42900,988.59,990.34,966.71,976.47,980.51,3.97,-0.0044,-4.32,3897685490
42899,977.99,984.5,966.1,980.79,977.71,4.58,0.0165,15.88,4477257280
42898,967,975.95,945,964.91,960.58,9.45,-0.0137,-13.4,9076685390
42895,1012.5,1012.99,927,978.31,986.37,7.65,-0.0316,-31.96,7543990050
42894,1012.06,1013.61,1006.11,1010.27,1009.46,2.77,0.0002,0.2,2876463350
42893,1005.95,1010.25,1002,1010.07,1007.39,2.82,0.0071,7.07,2843706190
42892,1012,1016.5,1001.25,1003,1009.66,3.35,-0.0082,-8.34,3378711150
42891,1007.23,1013.21,1003.51,1011.34,1009.83,2.72,0.0046,4.61,2746979150
42888,998.99,1008.48,995.67,1006.73,1003.92,3.75,0.0108,10.78,3766953750
42887,998.59,998.99,991.37,995.95,995.22,2.45,0.0013,1.33,2494483120
42886,1000,1000.12,982.16,994.62,992.58,3.91,-0.0021,-2.08,3912542380
42885,996.51,1001.2,995.52,996.7,998.11,3.26,0.0009,0.92,3256931940
42881,995,998.65,989.25,995.78,994.54,3.47,0.0024,2.4,3450066010
42880,984.85,999,982.11,993.38,993.4,4.82,0.0133,13.03,4790162940
42879,976,981,970.23,980.35,976.26,2.46,0.0091,8.81,2404081360
42878,975.02,975.2,966.85,971.54,970.89,2.42,0.0009,0.87,2345297150
42877,964,971.38,962.9,970.67,968.8,2.64,0.0113,10.83,2559805710
42874,962.84,968.92,959.72,959.84,964.75,3.97,0.0014,1.35,3832352950
42873,944.8,962.75,944.76,958.49,955.98,3.94,0.0145,13.73,3765672900
42872,954.7,960.4,944.12,944.76,952.75,5.15,-0.0221,-21.31,4911157270
42871,961,970.06,960.91,966.07,966,3.13,0.0085,8.1,3019808250
42870,958.73,963.15,956.06,957.97,958.56,4.27,-0.0035,-3.38,4098580480
42867,954.5,962.79,951.53,961.35,958.1,3.63,0.0145,13.73,3473824290
42866,945.11,950.29,940.78,947.62,945.64,2.19,-0.0014,-1.33,2074872410
42865,953.5,953.75,945,948.95,948.73,2.10,-0.0041,-3.87,1989152040
42864,952.8,957.89,950.2,952.82,953.81,3.26,0.004,3.78,3110885970
42863,940.95,949.05,939.21,949.04,943.92,3.42,0.0159,14.89,3223869300
42860,940.52,940.79,930.3,934.15,933.18,2.87,-0.0036,-3.38,2674553190
42859,944.75,945,934.22,937.53,937.59,2.42,-0.0037,-3.5,2267348500
42858,946,946,935.9,941.03,939.69,3.58,-0.0062,-5.91,3367955010
42857,946.65,950.1,941.41,946.94,944.59,3.85,-0.0014,-1.29,3635511490
42856,927.8,954.4,927.8,948.23,946.06,5.47,0.0251,23.24,5171738070
42853,948.83,949.59,924.33,924.99,935.23,7.36,0.0072,6.61,6889894230
42852,914.39,921.86,912.11,918.38,918.18,5.31,0.01,9.09,4910597000
42851,910.3,915.75,907.56,909.29,910.93,2.61,0.0018,1.67,2378078050
42850,907.04,909.48,903,907.62,907.16,3.38,0.0002,0.21,3066575750
42849,908.68,909.99,903.82,907.41,907.26,3.12,0.0099,8.88,2833325810
42846,902.67,903.65,896.77,898.53,899.08,2.42,-0.0039,-3.53,2175960340
42845,899.7,905.32,896.29,902.06,901.92,2.81,0.0032,2.86,2538312200
42844,907.84,910.5,897.37,899.2,903.45,2.87,-0.0051,-4.58,2593030580
42843,900.99,909.61,900.78,903.78,904.8,3.00,0.002,1.79,2713197210
42842,887.5,902.38,887.5,901.99,896.59,2.85,0.0196,17.32,2559999300
42838,891.45,894.97,884.49,884.67,889.09,3.17,-0.0129,-11.56,2822011330
42837,903.09,904.09,895.25,896.23,899.79,2.46,-0.0068,-6.13,2209811870
42836,907.04,911.24,897.5,902.36,902.12,3.01,-0.0052,-4.68,2717790320
42835,899.63,908.51,899,907.04,906.01,3.18,0.0136,12.16,2885941100
42832,899.65,900.09,889.31,894.88,894.99,3.71,-0.0038,-3.4,3321063840
42831,913.8,917.19,894.49,898.28,901.97,6.34,-0.0121,-11,5722164000
42830,910.82,923.72,905.62,909.28,915.83,7.51,0.0027,2.45,6876132680
42829,891.5,908.54,890.28,906.83,901.71,4.98,0.0172,15.32,4494694030
42828,888,893.49,885.42,891.51,889.91,3.42,0.0056,4.97,3045339910
42825,877,890.35,876.65,886.54,886.52,3.96,0.0116,10.2,3508749380
42824,874.95,877.06,871.66,876.34,874.77,2.76,0.0023,2.02,2416644300
